1;1;POUILLY FUME 2019 - CHATEAU FAVRAY;15.80;13;750;Loire
2;2;CHATEAU NOAILLAC 2015 - CRU BOURGEOIS;16.50;13;750;Bordeaux
2;3;CHÂTEAU LARROZE 2018;6.60;13;750;Sud-Ouest
2;4;VILLA DES ANGES RESERVE 2019 - JEFF CARREL;8.90;14;750;Languedoc-Roussillon
3;5;LES PIEDS DANS L'EAU 2020 - ALMA CERSIUS;7.50;12.5;750;Languedoc-Roussillon
3;6;LES PLATANES ROSE 2020 - CHATEAU SAINT JEAN LEZ DURANCE;10.50;12.5;750;Provence-Alpes-Côte d'Azur
2;7;LIRAC 2016 - XAVIER VIGNON;13.00;14.5;750;Rhône
2;8;ROUGE DE GALA 2019 - DOMAINE HORGELUS;6.95;13;750;Sud-Ouest
1;8;DOMAINE HORGELUS - GROS-MANSENG & SAUVIGNON 2020;7.15;12;750;Sud-Ouest
1;8;COLOMBARD-SAUVIGNON BLANC N°3 2020 - DOMAINE UBY;7.60;11;750;Sud-Ouest
3;9;VANNADES ROSE 2020 - CHATEAU SAINT JEAN LEZ DURANCE;11.40;12.5;750;Provence-Alpes-Côte d'Azur
1;9;LA CHARMETTE POUILLY FUMÉ 2019 - DOMAINE CHAUVEAU;15.90;13;750;Loire
2;10;AGNEAU SELECTION BORDEAUX ROUGE 2017 - BARON PHILIPPE DE ROTHSCHILD;10.00;13;750;Bordeaux
2;10;LE FISTON 2019 - BY JEFF CARREL;7.90;13;750;Languedoc-Roussillon
2;11;CINQUENOCI 2018 - PRIMITIVO - IGP PUGLIA - TAGARO;10.90;15;750;Italie
2;12;COTES DU RHONE - CUVEE VIEILLES VIGNES BIO 2017 - XAVIER VIGNON;12.90;14.5;750;Rhône
1;13;MORILLON BLANC 2019 - BY JEFF CARREL;10.90;14.5;750;Vin de France
2;14;COW MALBEC 2020 - TUSSOCK JUMPER;8.90;13;750;Argentine
1;14;DOMAINE HORGELUS - COLOMBARD-SAUVIGNON 2020;6.70;11.5;750;Sud-Ouest
3;15;ROSE 2020 - SAINTE CROIX;7.80;13;750;Provence-Alpes-Côte d'Azur
