id_produit;id_type;id_label;nom;prix;degre;volume;origine
1;1;1;POUILLY FUME 2019 - CHATEAU FAVRAY;15.8;13;750;Loire
2;2;2;CHATEAU NOAILLAC 2015 - CRU BOURGEOIS;16.5;13;750;Bordeaux
3;2;3;CHÂTEAU LARROZE 2018;6.6;13;750;Sud-Ouest
4;2;4;VILLA DES ANGES RESERVE 2019 - JEFF CARREL;8.9;14;750;Languedoc-Roussillon
5;3;5;LES PIEDS DANS L'EAU 2020 - ALMA CERSIUS;7.5;12.5;750;Languedoc-Roussillon
6;3;6;LES PLATANES ROSE 2020 - CHATEAU SAINT JEAN LEZ DURANCE;10.5;12.5;750;Provence-Alpes-Côte d'Azur
7;2;7;LIRAC 2016 - XAVIER VIGNON;13;14.5;750;Rhône
8;2;8;ROUGE DE GALA 2019 - DOMAINE HORGELUS;6.95;13;750;Sud-Ouest
9;1;8;DOMAINE HORGELUS - GROS-MANSENG & SAUVIGNON 2020;7.15;12;750;Sud-Ouest
10;1;8;COLOMBARD-SAUVIGNON BLANC N°3 2020 - DOMAINE UBY;7.6;11;750;Sud-Ouest
11;3;9;VANNADES ROSE 2020 - CHATEAU SAINT JEAN LEZ DURANCE;11.4;12.5;750;Provence-Alpes-Côte d'Azur
12;1;9;LA CHARMETTE POUILLY FUMÉ 2019 - DOMAINE CHAUVEAU;15.9;13;750;Loire
13;2;10;AGNEAU SELECTION BORDEAUX ROUGE 2017 - BARON PHILIPPE DE ROTHSCHILD;10;13;750;Bordeaux
14;2;10;LE FISTON 2019 - BY JEFF CARREL;7.9;13;750;Languedoc-Roussillon
15;2;11;CINQUENOCI 2018 - PRIMITIVO - IGP PUGLIA - TAGARO;10.9;15;750;Italie
16;2;12;COTES DU RHONE - CUVEE VIEILLES VIGNES BIO 2017 - XAVIER VIGNON;12.9;14.5;750;Rhône
17;1;13;MORILLON BLANC 2019 - BY JEFF CARREL;10.9;14.5;750;Vin de France
18;2;14;COW MALBEC 2020 - TUSSOCK JUMPER;8.9;13;750;Argentine
19;1;14;DOMAINE HORGELUS - COLOMBARD-SAUVIGNON 2020;6.7;11.5;750;Sud-Ouest
20;3;15;ROSE 2020 - SAINTE CROIX;7.8;13;750;Provence-Alpes-Côte d'Azur
21;2;15;MARINS D'EAU DOUCE ROUGE 2019 - DOMAINE PUJOL;6.9;12.5;750;Languedoc-Roussillon
22;1;15;VIOGNIER 2020 - MARIUS BY M. CHAPOUTIER;8.5;13.5;750;Languedoc-Roussillon
23;2;16;VIEILLES VIGNES SAUMUR PUY-NOTRE-DAME 2016 - DOMAINE DES MATINES;14.9;12.5;750;Loire
24;2;16;MOUTON CADET BIO 2019 - BARON PHILIPPE DE ROTHSCHILD;12.95;13.5;750;Bordeaux
25;2;17;RESERVA CARMENERE 2019 - CASILLERO DEL DIABLO - CONCHA Y TORO;9;13.5;750;Chili
26;3;18;DOMAINE CASANOVA - GRIS ROSE;7.9;12;750;Corse
27;2;19;MONTAGNE NOIRE 2017 - CHATEAU AUZIAS;8;13.5;750;Languedoc-Roussillon
28;2;20;RASTEAU 2016 - ROMAIN DUVERNAY;15;14.5;750;Rhône
29;2;21;BROUILLY - LES CLOCHERS 2019 - VIGNERONS DE BEL AIR;10.5;13;750;Beaujolais
30;2;22;CHATEAU MIGNOT 2018 - SECOND VIN DU CHATEAU SERILHAN;17.5;14.5;750;Bordeaux
31;2;23;CHATEAU TOUR BAYARD 2018;17.5;15;750;Bordeaux
32;1;23;COLLECTION UNIQUE EDITION SPECIALE 2020 - DOMAINE UBY;7.1;11;750;Sud-Ouest
33;2;24;CRIANZA 2017 - VEGA DEMARA;7.9;13.5;750;Espagne
34;2;24;SYRAH 2019 - DOMAINE GAYDA;8;13.5;750;Languedoc-Roussillon
35;2;25;RIOJA CRIANZA 2018 - BODEGAS BURGO VIEJO;9.99;13.5;750;Espagne
36;3;25;VILLA DES ANGES ROSE 2020 - JEFF CARREL;7;12;750;Languedoc-Roussillon
37;2;26;BARBERA D'ALBA SUPERIORE 2018 - FONTANABIANCA;13.9;14;750;Italie
38;1;26;CLASSIC 2020 - DOMAINE TARIQUET;6.95;10.5;750;Sud-Ouest
39;3;27;M DE MINUTY 2020;13.9;13;750;Provence-Alpes-Côte d'Azur
40;3;28;ROSE 2020 - DOMAINE LA ROSE DES VENTS;8.9;13;750;Provence-Alpes-Côte d'Azur
41;2;28;YLIRUM 2019 - VEGA DEMARA;6.75;13;750;Espagne
42;3;28;EDITION SPECIALE ROSE 2020 - DOMAINE UBY;7.5;11.5;750;Sud-Ouest
43;1;29;SAUVIGNON BLANC - PRIVATE BIN 2020 - VILLA MARIA;14.9;14;750;Nouvelle-Zélande
44;2;30;MISE DE LA BARONNIE GRAVES ROUGE 2017 - BARON PHILIPPE DE ROTHSCHILD;12.9;12.5;750;Bordeaux
45;2;30;CABERNET-SAUVIGNON 2020 - VILLA DES ANGES - JEFF CARREL;6.9;14;750;Languedoc-Roussillon
46;1;30;DOMAINE HORGELUS - LE BAL DES PAPILLONS 2020;7.95;11;750;Sud-Ouest
47;2;30;UBY N°7 ROUGE MERLOT-TANNAT 2020 - DOMAINE UBY;7.5;13;750;Sud-Ouest
48;3;30;PLAISIR ROSE 2020 - MAITRES VIGNERONS DE VIDAUBAN;6.4;13;750;Provence-Alpes-Côte d'Azur
49;2;31;EL PEDAL 2019 - HERMANOS HERNÀIZ;9.9;13.5;750;Espagne
50;2;32;MADEMOISELLE 2016 - CHATEAU AUZIAS;9.3;13.5;750;Languedoc-Roussillon
51;2;33;CHATEAU HAUT PRIEUR 2016;11.3;14.5;750;Bordeaux
52;2;34;CHATEAU PIERRE DE MONTIGNAC 2015 - CRU BOURGEOIS;15.6;13;750;Bordeaux
53;2;34;COTE MAS ROUGE 2019 - DOMAINES PAUL MAS;7.5;13.5;750;Languedoc-Roussillon
54;1;34;CHARDONNAY VIOGNIER 2018 - CHATEAU AUZIAS;7.4;13.5;750;Languedoc-Roussillon
55;1;34;RESERVE BLANC 2019 - PERRIN ET FILS;9.9;13.5;750;Rhône
56;1;34;COTE MAS BLANC 2019 - DOMAINES PAUL MAS;7.5;12.5;750;Languedoc-Roussillon
57;2;34;CHATEAU PIERRON 2018;5.95;13.5;750;Bordeaux
58;1;34;CHARDONNAY 2019 - LES JAMELLES;8.95;13.5;750;Languedoc-Roussillon
59;2;35;GARNACHA 2019 - VINA ZORZAL;8.9;13.5;750;Espagne
60;1;35;GARNACHA BLANCA 2018 - VINA ZORZAL;9.9;13;750;Espagne
61;2;36;LE TRIPORTEUR ROUGE 2019;6.5;15;750;Rhône
62;2;37;SAUMUR 2018 - CHATEAU DU RUAU;9.5;13;750;Loire
63;2;37;CHÂTEAU LES REUILLES - CUVÉE HÉRITAGE 2017;9.5;13.5;750;Bordeaux
64;2;;MIRAL - NERO D'AVOLA 2019 - CANTINE FINA;8.95;13;750;Italie
65;2;38;SOPLO 2018 - RAFAEL CAMBRA;7.9;13.5;750;Espagne
66;2;39;MOULIN A VENT 2018 - DOMAINE DU MONT VERRIER;14.5;13.5;750;Beaujolais
67;2;40;75 CL DE TERROIR 2019 - DOMAINE LA CHEVALLERIE;10.99;12.5;750;Loire
68;3;40;DOMAINE HORGELUS - ROSE 2020;6.8;11.5;750;Sud-Ouest
69;2;41;GRENACHE UNDER MY SKIN 2018 - BY JEFF CARREL;12.5;15.5;750;Languedoc-Roussillon
70;2;42;BEAUMES DE VENISE - SAPERE AUDE 2016 - DOMAINE DE COYEUX;12.9;14.5;750;Rhône
71;2;43;LES AILES IMAGINAIRES 2019 - DOMAINE PUJOL;11.9;14.5;750;Languedoc-Roussillon
72;3;44;GOURMANDISE 2020 - LES MAITRES VIGNERONS DE LA PRESQU'ÎLE DE SAINT-TROPEZ;7.2;12.5;750;Provence-Alpes-Côte d'Azur
73;3;44;ROSE CHARMEUR 2020 - CHÂTEAU SAINTE CROIX;11.9;13;750;Provence-Alpes-Côte d'Azur
74;3;44;LA MINUETTE 2020 - DOMAINE GAYDA;9.5;12;750;Languedoc-Roussillon
75;2;45;LE CIRQUE 2018 - TERRES PLURIELLES;6.9;14;750;Languedoc-Roussillon
76;3;45;UBY ROSE N°6 2020 - DOMAINE UBY;6.6;11.5;750;Sud-Ouest
77;3;46;MADE IN PROVENCE COLLECTION 2020 - MIP - DOMAINE DES DIABLES;13;12.5;750;Provence-Alpes-Côte d'Azur
78;1;46;L'ETE GASCON BLANC 2020 - DOMAINE PELLEHAUT;8.75;11.5;750;Sud-Ouest
79;3;46;L'ETE GASCON ROSE 2020 - DOMAINE PELLEHAUT;8.75;11;750;Sud-Ouest
80;1;46;HAUT MARIN - N°6 - LES FOSSILES 2019;6.9;11;750;Sud-Ouest
81;3;46;CUVÉE PIERRES DE MOULIN 2020 - DOMAINE DE LA FOUQUETTE;12.9;12.5;750;Provence-Alpes-Côte d'Azur
82;3;46;LES PARCELLES ROSE DE MOUTON CADET 2020 - BARON PHILIPPE DE ROTHSCHILD;13.95;13;750;Bordeaux
83;1;46;UBY BYO BLANC N°21 2020 - DOMAINE UBY;8.2;11.5;750;Sud-Ouest
84;3;47;LE TRIPORTEUR ROSE 2020;6.5;13;750;Rhône
85;2;47;HARMONIE DE GASCOGNE ROUGE 2020 - DOMAINE PELLEHAUT;7.7;12.5;750;Sud-Ouest
86;1;47;YLIRUM BLANC 2020 - VEGA DEMARA;6.75;12;750;Espagne
87;1;47;SAUVIGNON BLANC - VILLA DES ANGES - JEFF CARREL;6.9;12;750;Languedoc-Roussillon
88;2;47;INSTINCT MARIN 2017 - CHATEAU AUZIAS;9.99;14;750;Languedoc-Roussillon
89;2;47;CHÂTEAU TERTRE DU BOILON 2016;8.95;13;750;Bordeaux
90;1;48;MÂCON LA ROCHE-VINEUSE 2018 - CHÂTEAU DE LA GREFFIÈRE;12.9;13;750;Bourgogne
91;2;49;LE PIGEONNIER 2019 - CAVE DE PAZAC;7.5;14.5;750;Rhône
92;2;50;CHATEAU DE LISSE 2016 -SAINT EMILION GRAND CRU;17.9;13;750;Bordeaux
93;2;51;CHATEAU DU MOULINAT 2016;14.9;13;750;Bordeaux
94;1;52;SANCERRE PENTE DE MAIMBRAY 2019 - DOMAINE PAUL VATTAN;17.3;13;750;Loire
95;1;53;LES ACACIAS 2019 - DOMAINE LE SOLLIER;11.5;13.5;750;Languedoc-Roussillon
96;1;54;SAINT BRIS 2018 - LA CHABLISIENNE;10.5;12.5;750;Bourgogne
97;2;55;ADARAS CALIZO 2019 - BODEGAS Y VIÑEDOS VENTA LA VEGA;7.9;13;750;Espagne
